"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J31,J5";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04";;;
2;"J30";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
3;"J29,J6";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
4;"J28";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01";;;
5;"J27,J26";"PinHeader_1x09_P2.54mm_Vertical";2;"Conn_01x09";;;
6;"J25,J24";"PinHeader_1x10_P2.54mm_Vertical";2;"Conn_01x10";;;
7;"J23,J22,J21";"PinHeader_1x17_P2.54mm_Vertical";3;"Conn_01x17";;;
8;"J20,J19";"PinHeader_1x23_P2.54mm_Vertical";2;"Conn_01x23";;;
9;"J18,J17,J16,J15,J14,J13,J12,J11,J8";"PinHeader_1x05_P2.54mm_Vertical";9;"Conn_01x05";;;
10;"JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Open";;;
11;"R5,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"51K";;;
12;"J4,J9";"PinHeader_1x08_P2.54mm_Vertical";2;"Conn_01x08";;;
13;",,";"";3;"";;;
14;"J1";"DSUB-25_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"DB25_Male";;;
15;"RV1";"RV_Disc_D15.5mm_W4.7mm_P7.5mm";1;"ERZ-V14D220";;;
16;"F1";"Fuse_BelFuse_0ZRE0100FF_L18.7mm_W5.1mm";1;"MF-R050";;;
17;"D13,D18,D17,D16,D15,D12,D11,D10,D9,D8,D7,D6,D5,D4,D3,D2,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";17;"1N5818";;;
18;"J7";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
19;"J3";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07";;;
20;"U10";"A4988StepStick";1;"A4988StepStick";;;
21;"J98";"Jumper-Pad";1;"Step1B";;;
22;"J97";"Jumper-Pad";1;"Step1A";;;
23;"J96";"Jumper-Pad";1;"Step2A";;;
24;"J95";"Jumper-Pad";1;"Step2B";;;
25;"J94";"Jumper-Pad";1;"D5out";;;
26;"J93";"Jumper-Pad";1;"D6out";;;
27;"J92";"Jumper-Pad";1;"D7out";;;
28;"J91";"Jumper-Pad";1;"Pin0";;;
29;"J90";"Jumper-Pad";1;"Pin1";;;
30;"J89";"Jumper-Pad";1;"Pin2";;;
31;"J88";"Jumper-Pad";1;"Pin3";;;
32;"J87";"Jumper-Pad";1;"Pin4";;;
33;"J2";"Jumper-Pad";1;"12V";;;
34;"U2,U1";"MPXH6115_Adapter_Vertical";2;"MPXH6115_Adapter_Vertical";;;
35;"U9";"DIP-16_W7.62mm";1;"ULN2004AN";;;
36;"U8,U7,U6,U5,U4";"DIP-8_W7.62mm";5;"IXDI604PI";;;
37;"U3";"TO-220-3_Horizontal_TabDown";1;"LM2940T-5.0";;;
38;"R24,R23,R22,R21,R20,R19,R18,R17,R16,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";10;"22R";;;
39;"R14,R11,R10,R9,R4,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"470R";;;
40;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"120R";;;
41;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
42;"R8,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"2.49k";;;
43;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3.9k";;;
44;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
45;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_NO_Small";;;
46;"C30,C29,C28,C27,C26,C23,C21,C19,C13,C12,C11,C6,C5,C2,C1";"C_Disc_D5.0mm_W2.5mm_P2.50mm";15;"0.1uF";;;
47;"C25,C17";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"0.01uF";;;
48;"C24,C16,C15,C14,C8,C7";"C_Disc_D5.0mm_W2.5mm_P2.50mm";6;"0.22uF";;;
49;"C22";"CP_Radial_D8.0mm_P5.00mm";1;"47uF";;;
50;"C20";"C_Disc_D7.5mm_W5.0mm_P5.00mm";1;"22uF";;;
51;"C18";"CP_Radial_D5.0mm_P2.00mm";1;"10uF";;;
52;"C10,C9";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"47pf";;;
